design_id,boltz_ipSAE,boltz_pDockQ,original_cif,boltz_cif,boltz_pae
job_C_large_0376,0.0,0.1711,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0376.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0376/predictions/job_C_large_0376/job_C_large_0376_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0376/predictions/job_C_large_0376/pae_job_C_large_0376_model_0.npz
job_C_large_0474,0.862659,0.5318,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0474.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/job_C_large_0474_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/pae_job_C_large_0474_model_0.npz
job_C_large_0478,0.862659,0.5318,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0478.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/job_C_large_0474_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/pae_job_C_large_0474_model_0.npz
job_C_large_0056,0.862659,0.5318,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0056.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/job_C_large_0474_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/pae_job_C_large_0474_model_0.npz
job_C_large_0073,0.862659,0.5318,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0073.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/job_C_large_0474_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/pae_job_C_large_0474_model_0.npz
job_C_large_0108,0.862659,0.5318,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0108.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/job_C_large_0474_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/pae_job_C_large_0474_model_0.npz
job_C_large_0313,0.862659,0.5318,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0313.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/job_C_large_0474_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/pae_job_C_large_0474_model_0.npz
job_C_large_0715,0.862659,0.5318,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0715.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/job_C_large_0474_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0474/predictions/job_C_large_0474/pae_job_C_large_0474_model_0.npz
job_C_large_0558,0.783406,0.5049,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0558.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0558/predictions/job_C_large_0558/job_C_large_0558_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0558/predictions/job_C_large_0558/pae_job_C_large_0558_model_0.npz
job_C_large_0005,0.783406,0.5049,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0005.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0558/predictions/job_C_large_0558/job_C_large_0558_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0558/predictions/job_C_large_0558/pae_job_C_large_0558_model_0.npz
job_C_large_0146,0.783406,0.5049,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0146.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0558/predictions/job_C_large_0558/job_C_large_0558_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0558/predictions/job_C_large_0558/pae_job_C_large_0558_model_0.npz
job_C_large_0103,0.783406,0.5049,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0103.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0558/predictions/job_C_large_0558/job_C_large_0558_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0558/predictions/job_C_large_0558/pae_job_C_large_0558_model_0.npz
job_C_large_0373,0.615054,0.4584,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0373.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/job_C_large_0373_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/pae_job_C_large_0373_model_0.npz
job_C_large_0318,0.615054,0.4584,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0318.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/job_C_large_0373_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/pae_job_C_large_0373_model_0.npz
job_C_large_0683,0.615054,0.4584,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0683.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/job_C_large_0373_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/pae_job_C_large_0373_model_0.npz
job_C_large_0144,0.615054,0.4584,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0144.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/job_C_large_0373_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/pae_job_C_large_0373_model_0.npz
job_C_large_0305,0.615054,0.4584,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0305.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/job_C_large_0373_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/pae_job_C_large_0373_model_0.npz
job_C_large_0383,0.615054,0.4584,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0383.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/job_C_large_0373_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/pae_job_C_large_0373_model_0.npz
job_C_large_0328,0.615054,0.4584,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0328.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/job_C_large_0373_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/pae_job_C_large_0373_model_0.npz
job_C_large_0377,0.615054,0.4584,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0377.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/job_C_large_0373_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/pae_job_C_large_0373_model_0.npz
job_C_large_0227,0.615054,0.4584,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0227.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/job_C_large_0373_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/pae_job_C_large_0373_model_0.npz
job_C_large_0055,0.615054,0.4584,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0055.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/job_C_large_0373_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/pae_job_C_large_0373_model_0.npz
job_C_large_0258,0.615054,0.4584,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0258.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/job_C_large_0373_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/pae_job_C_large_0373_model_0.npz
job_C_large_0711,0.615054,0.4584,../intermediate_designs_inverse_folded/refold_cif/job_C_large_0711.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/job_C_large_0373_model_0.cif,/tmp/boltz_ipsae_gh6q7pbe/predictions/boltz_results_job_C_large_0373/predictions/job_C_large_0373/pae_job_C_large_0373_model_0.npz
