ID,Boltz ipSAE,Boltzgen ipTM,Boltz pDockQ,Boltzgen PTM
job_C_large_0376,0.0,0.8642,0.1711,0.91624
job_C_large_0474,0.862659,0.84369,0.5318,0.92356
job_C_large_0478,0.862659,0.83128,0.5318,0.92047
job_C_large_0056,0.862659,0.81572,0.5318,0.90837
job_C_large_0073,0.862659,0.81319,0.5318,0.91505
job_C_large_0108,0.862659,0.78475,0.5318,0.91069
job_C_large_0313,0.862659,0.78292,0.5318,0.89391
job_C_large_0715,0.862659,0.7807,0.5318,0.90342
job_C_large_0558,0.783406,0.77621,0.5049,0.89814
job_C_large_0005,0.783406,0.7707,0.5049,0.92442
job_C_large_0146,0.783406,0.77003,0.5049,0.92302
job_C_large_0103,0.783406,0.76242,0.5049,0.88607
job_C_large_0373,0.615054,0.73534,0.4584,0.88852
job_C_large_0318,0.615054,0.73365,0.4584,0.91465
job_C_large_0683,0.615054,0.72983,0.4584,0.88774
job_C_large_0144,0.615054,0.72848,0.4584,0.8858
job_C_large_0305,0.615054,0.72194,0.4584,0.87141
job_C_large_0383,0.615054,0.7136,0.4584,0.89233
job_C_large_0328,0.615054,0.71206,0.4584,0.90158
job_C_large_0377,0.615054,0.6967,0.4584,0.85997
job_C_large_0227,0.615054,0.69603,0.4584,0.84823
job_C_large_0055,0.615054,0.6957,0.4584,0.88148
job_C_large_0258,0.615054,0.69522,0.4584,0.88007
job_C_large_0711,0.615054,0.69106,0.4584,0.87732
job_C_large_0213,0.615054,0.68895,0.4584,0.85757
job_C_large_0717,0.615054,0.6864,0.4584,0.80101
job_C_large_0386,0.615054,0.68546,0.4584,0.82101
job_C_large_0726,0.615054,0.68377,0.4584,0.88958
job_C_large_0747,0.615054,0.68309,0.4584,0.87526
job_C_large_0304,0.615054,0.67812,0.4584,0.83389
